0	0.000000	0.000000	13
3000	48.000000	27.000000	13
6000	24.000000	13.000000	13
9000	19.200001	13.000000	13
12000	0.000000	13.000000	13
15000	0.000000	13.000000	13
18000	0.000000	13.000000	13
21000	0.000000	13.000000	13
24000	0.000000	13.000000	13
27000	0.000000	13.000000	13
30000	0.000000	13.000000	13
33000	0.000000	13.000000	13
36000	0.000000	13.000000	13
39000	0.000000	13.000000	13
42000	0.000000	13.000000	13
45000	0.000000	13.000000	13
48000	0.000000	13.000000	13
51000	0.000000	13.000000	13
54000	0.000000	13.000000	13
57000	0.000000	13.000000	13
60000	0.000000	13.000000	13
63000	0.000000	13.000000	13
66000	0.000000	13.000000	13
69000	0.000000	13.000000	13
72000	0.000000	13.000000	13
75000	0.000000	13.000000	13
78000	0.000000	13.000000	13
81000	0.000000	13.000000	13
84000	0.000000	13.000000	13
87000	0.000000	13.000000	13
90000	0.000000	13.000000	13
93000	0.000000	13.000000	13
96000	0.000000	13.000000	13
99000	0.000000	13.000000	13
